idx,num_steps,num_calcs,question_words,difficulty,answer_magnitude,simcon_correct,simcon_sircl_correct,simcon_transition,codi_correct,codi_sircl_correct,codi_transition,simcon_radius_mean,simcon_sircl_radius_mean,simcon_path_length,simcon_sircl_path_length
883,2,2,58,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.392541,8.302381,94.235855,50.985504
884,3,2,24,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.223104,8.16141,83.82395,51.41343
885,2,2,31,easy (1-2 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,12.394889,7.5411916,95.98649,43.600307
886,3,3,52,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.186952,7.655091,102.09512,49.946037
887,3,3,32,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,12.753381,8.3647785,99.15417,55.514206
888,2,2,24,easy (1-2 steps),tiny (≤10),False,True,recovered,True,True,both_correct,14.524061,7.850663,118.377686,48.394558
889,3,3,34,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.620185,9.199758,122.87234,63.258617
890,5,4,36,hard (5-6 steps),small (11-100),True,True,both_correct,True,True,both_correct,14.0827465,10.484358,99.52571,84.816696
891,2,1,34,easy (1-2 steps),small (11-100),True,False,regressed,True,True,both_correct,12.019771,8.277533,80.27744,61.334236
892,3,3,47,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,11.167707,9.477021,81.343544,69.20282
893,3,3,38,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,9.835643,8.185224,72.71168,58.741062
894,5,4,55,hard (5-6 steps),small (11-100),False,True,recovered,False,False,both_wrong,12.676476,10.480722,78.70348,63.338173
895,3,3,39,medium (3-4 steps),small (11-100),True,True,both_correct,True,True,both_correct,11.697502,8.643308,89.83528,56.429462
896,3,3,35,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,14.802286,9.564721,120.75663,62.93422
897,3,3,35,medium (3-4 steps),tiny (≤10),False,False,both_wrong,False,False,both_wrong,9.986483,6.7634063,75.73718,43.393982
898,3,3,54,medium (3-4 steps),medium (101-1K),True,True,both_correct,True,True,both_correct,12.368063,9.7573,95.255226,66.75945
899,2,2,38,easy (1-2 steps),small (11-100),True,True,both_correct,True,True,both_correct,13.891381,7.0958943,102.77588,40.233334
